subcategory_id,category_id,subcategory_name,created_at,updated_at
53,22,Computers,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
54,22,Smartphones,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
55,22,Accessories,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
56,22,Televisions & Home Theater,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
57,22,Cameras & Photography,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
58,22,Wearable Technology,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
59,23,Women's Fashion,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
60,23,Men's Fashion,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
61,23,Kids' Fashion,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
62,23,Footwear,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
63,24,Fiction,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
64,24,Non-Fiction,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
65,24,Children's Books,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
66,25,Skincare,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
67,25,Makeup,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
68,25,Haircare,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
69,26,Car Parts & Accessories,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
70,26,Motorcycles,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
71,27,PC Games,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
72,27,PlayStation Games,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
73,27,Xbox Games,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
74,28,Kitchen Appliances,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
75,28,Home Decor,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
76,28,Furniture,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
77,29,Action Figures,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
78,29,Board Games,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
79,30,Vitamins & Supplements,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
80,30,Household Cleaners,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
81,31,Dog Supplies,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
82,31,Cat Supplies,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
83,32,Fitness Equipment,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
84,32,Camping & Hiking,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
85,33,Power Tools,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
86,33,Hand Tools,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
87,34,Painting & Drawing,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
88,34,Sewing & Fabric,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
89,35,Diapering,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
90,35,Feeding,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
91,36,Gardening Tools,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
92,36,Outdoor Decor,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
93,37,Guitars,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
94,37,Keyboards,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
95,38,Office Electronics,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
96,38,Office Furniture,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
97,39,Operating Systems,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
98,39,Productivity Software,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
99,40,Coins & Paper Money,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
100,40,Stamps,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
101,41,Lab & Scientific Products,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
102,41,Safety & Security,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
103,42,Handmade Jewelry,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
104,42,Handmade Home Decor,2025-07-13 17:49:52.943633+00,2025-07-13 17:49:52.943633+00
